INDEX,DATE,TIME,E1,E2,E3,E4,C1,C2,C3,C4,OAT,DIF,CLD,MAP,RPM,HP,FF,FF2,FP,OILP,BAT,AMP,OILT,USD,USD2,RFL,LFL,HRS,SPD,ALT,LAT,LNG,MARK
Engine - Tach Start = 643.1,Tach End = 644.0,Tach Duration = 0.9
0,8/31/2025,09:41:56, 848, 819, 896, 796, 108, 117, 126, 121, 75, 100, 0,13.9, 1138, 17,3.2,0.0,22.5, 58,13.5, 25, 129,7.3,NA,19.6,12.3,643.1,NA,NA,NA,NA,
1,8/31/2025,09:42:02, 917, 916, 969, 868, 110, 121, 128, 124, 75, 101, 0,13.7, 1069, 16,2.9,0.0,22.5, 56,13.6, 20, 129,7.3,NA,19.6,12.3,643.1,NA,NA,N38.15.50,W122.36.50,
2,8/31/2025,09:42:08, 954, 948, 1012, 913, 114, 125, 130, 128, 75, 99, 0,13.4, 1086, 16,2.9,0.0,24.1, 56,14.0, 20, 129,7.3,NA,18.0,12.3,643.1,NA,NA,N38.15.50,W122.36.50,
3,8/31/2025,09:42:14, 982, 958, 1058, 939, 117, 129, 133, 132, 75, 119, 0,13.2, 1102, 15,2.9,0.0,24.1, 58,14.4, 16, 129,7.3,NA,18.0,12.3,643.1,NA,NA,NA,NA,
4,8/31/2025,09:42:20, 999, 967, 1065, 958, 120, 133, 135, 135, 75, 107, 0,12.9, 1109, 15,2.9,0.0,24.1, 58,14.5, 21, 129,7.3,NA,20.6,10.8,643.1,NA,NA,NA,NA,
5,8/31/2025,09:42:26, 1006, 977, 1089, 967, 123, 138, 138, 139, 75, 122, 0,12.9, 1110, 15,2.9,0.0,24.1, 58,14.3, 20, 128,7.3,NA,20.6,10.8,643.1,NA,NA,NA,NA,
6,8/31/2025,09:42:32, 1021, 976, 1091, 977, 127, 142, 141, 144, 75, 115, 0,12.7, 1120, 15,2.9,0.0,24.1, 58,14.4, 21, 128,7.3,NA,20.6,10.8,643.1,NA,NA,NA,NA,
7,8/31/2025,09:42:38, 1030, 987, 1105, 986, 131, 147, 144, 147, 75, 119, 0,12.5, 1127, 15,2.9,0.0,24.1, 59,14.4, 9, 127,7.3,NA,22.7,11.5,643.1,NA,NA,NA,NA,
8,8/31/2025,09:42:44, 1043, 997, 1119, 997, 135, 151, 147, 151, 75, 122, 0,12.4, 1126, 15,2.9,0.0,24.1, 59,14.3, 19, 127,7.3,NA,22.7,11.5,643.1,NA,NA,NA,NA,
